Bldg City,Bldg State,Bldg Status,Construction Date,Historical Status,Number of Records,Owned/Leased,Property Type,Total Parking Spaces
PHILADELPHIA,PA,ACTIVE,11/11/1111,Not Evaluated,1,OWNED,BUILDING,0
OGDENSBURG,NY,ACTIVE,1/1/1809,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1820,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1824,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1828,National Historic Landmark,1,OWNED,BUILDING,0
NEW BEDFORD,MA,ACTIVE,1/1/1836,National Historic Landmark,1,OWNED,BUILDING,6
WASHINGTON,DC,ACTIVE,1/1/1842,National Historic Landmark,1,OWNED,BUILDING,40
WASHINGTON,DC,ACTIVE,1/1/1843,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1848,National Register Listed,1,OWNED,BUILDING,0
SAVANNAH,GA,ACTIVE,1/1/1852,National Historic Landmark,1,OWNED,BUILDING,14
WASHINGTON,DC,ACTIVE,1/1/1852,National Historic Landmark,1,OWNED,LAND,0
NATCHEZ,MS,ACTIVE,6/1/1853,National Register Listed,1,OWNED,BUILDING,4
WASHINGTON,DC,ACTIVE,1/1/1856,National Historic Landmark,1,OWNED,BUILDING,0
RICHMOND,VA,ACTIVE,1/1/1858,National Register Listed,1,OWNED,BUILDING,14
WASHINGTON,DC,ACTIVE,1/1/1859,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1859,National Historic Landmark,1,OWNED,BUILDING,0
NORFOLK,VA,ACTIVE,1/1/1859,National Register Listed,1,OWNED,BUILDING,45
WASHINGTON,DC,ACTIVE,1/1/1861,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1868,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1869,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1869,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1869,National Historic Landmark,1,OWNED,BUILDING,0
PORTLAND,ME,ACTIVE,1/1/1871,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1874,National Historic Landmark,1,OWNED,BUILDING,0
PORTLAND,OR,ACTIVE,1/1/1875,National Historic Landmark,1,OWNED,BUILDING,5
OAKLAND,CA,ACTIVE,1/1/1876,National Register Eligible,1,LEASED,BUILDING,0
PORT HURON,MI,ACTIVE,1/1/1877,National Register Listed,1,OWNED,BUILDING,13
WASHINGTON,DC,ACTIVE,1/1/1878,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1878,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1878,National Historic Landmark,1,OWNED,BUILDING,0
RALEIGH,NC,ACTIVE,1/1/1878,National Register Listed,1,OWNED,BUILDING,7
WASHINGTON,DC,ACTIVE,1/1/1879,National Historic Landmark,1,OWNED,BUILDING,0
CHARLESTON,SC,ACTIVE,1/1/1879,National Historic Landmark,1,OWNED,BUILDING,72
EVANSVILLE,IN,ACTIVE,1/10/1879,Not Evaluated,1,LEASED,BUILDING,3
WASHINGTON,DC,ACTIVE,1/1/1880,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1880,National Register Listed,1,OWNED,BUILDING,35
BATTLE CREEK,MI,ACTIVE,1/1/1880,National Register Listed,1,OWNED,BUILDING,0
NEW ORLEANS,LA,ACTIVE,1/1/1881,National Historic Landmark,1,OWNED,BUILDING,5
LITTLE ROCK,AR,ACTIVE,1/1/1881,National Register Listed,1,OWNED,BUILDING,12
WASHINGTON,DC,ACTIVE,1/1/1882,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1882,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1883,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1883,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1885,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1885,National Historic Landmark,1,OWNED,BUILDING,73
BATTLE CREEK,MI,ACTIVE,1/1/1886,National Register Listed,1,OWNED,STRUCTURE,0
